SDATE,temperature_min,temperature_max
2017-11-01,4,17
2017-11-02,2,17
2017-11-03,-2,13
2017-11-04,2,15
2017-11-05,3,15
2017-11-06,4,15
2017-11-07,4,18
2017-11-08,3,14
2017-11-09,4,13
2017-11-10,-1,12
2017-11-11,-1,11
2017-11-12,-1,12
2017-11-13,-1,13
2017-11-14,-5,8
2017-11-15,-4,7
2017-11-16,-2,8
2017-11-17,-4,6
2017-11-18,-7,5
2017-11-19,-5,7
2017-11-20,-4,9
2017-11-21,-2,8
2017-11-22,-6,8
2017-11-23,-5,7
2017-11-24,-6,7
2017-11-25,-4,7
2017-11-26,-5,4
2017-11-27,-4,7
2017-11-28,-6,7
2017-11-29,-7,0
2017-11-30,-6,4
