SDATE,temperature_max,temperature_min,temperature_avg
2018/08/26,30,20,25
2018/08/27,30,20,25
2018/08/28,30,20,25
2018/08/29,29,19,24
2018/08/30,29,19,24
2018/08/31,29,19,24
2018/09/01,29,19,24
2018/09/02,29,18,23
2018/09/03,29,18,23
2018/09/04,28,18,23
2018/09/05,28,18,23
2018/09/06,28,18,23
2018/09/07,28,17,22
2018/09/08,28,17,22
2018/09/09,28,17,22
2018/09/10,27,17,22
2018/09/11,27,16,21
2018/09/12,27,16,21
2018/09/13,27,16,21
2018/09/14,27,16,21
2018/09/15,26,15,20
2018/09/16,26,15,20
2018/09/17,26,15,20
2018/09/18,26,15,20
2018/09/19,26,15,20
2018/09/20,25,14,19
2018/09/21,25,14,19
2018/09/22,25,14,19
2018/09/23,25,14,19
2018/09/24,25,13,19
2018/09/25,24,13,18
2018/09/26,24,13,18
2018/09/27,24,13,18
2018/09/28,24,12,18
2018/09/29,24,12,18
2018/09/30,23,12,17
2018/10/01,23,12,17
2018/10/02,23,11,17
2018/10/03,23,11,17
2018/10/04,22,11,16
2018/10/05,22,11,16
2018/10/06,22,11,16
2018/10/07,22,10,16
2018/10/08,21,10,15
2018/10/09,21,10,15
2018/10/10,21,10,15
2018/10/11,21,9,15
2018/10/12,20,9,14
2018/10/13,20,9,14
2018/10/14,20,9,14
2018/10/15,20,8,14
2018/10/16,19,8,13
2018/10/17,19,8,13
2018/10/18,19,8,13
2018/10/19,19,7,13
2018/10/20,18,7,12
2018/10/21,18,7,12
2018/10/22,18,6,12
2018/10/23,18,6,12
2018/10/24,17,6,11
2018/10/25,17,6,11
2018/10/26,17,5,11
2018/10/27,16,5,10
2018/10/28,16,5,10
2018/10/29,16,5,10
2018/10/30,16,4,10
2018/10/31,15,4,9
2018/11/01,15,4,9
2018/11/02,15,3,9
2018/11/03,14,3,8
2018/11/04,14,3,8
2018/11/05,14,3,8
2018/11/06,13,2,7
2018/11/07,13,2,7
2018/11/08,13,2,7
2018/11/09,12,2,7
2018/11/10,12,1,6
2018/11/11,12,1,6
2018/11/12,11,1,6
2018/11/13,11,0,5
2018/11/14,11,0,5
2018/11/15,10,0,5
2018/11/16,10,0,5
2018/11/17,10,-1,4
2018/11/18,9,-1,4
2018/11/19,9,-1,4
2018/11/20,9,-1,4
2018/11/21,8,-2,3
2018/11/22,8,-2,3
2018/11/23,8,-2,3
2018/11/24,7,-2,2
2018/11/25,7,-2,2
2018/11/26,7,-3,2
2018/11/27,7,-3,2
2018/11/28,7,-3,2
2018/11/29,6,-3,1
2018/11/30,6,-3,1
2018/12/01,6,-4,1
